5|Sunday, October 09, 2022 at 1:00 PM -0500|Los Angeles Chargers|Cleveland Browns|FirstEnergy Stadium, Cleveland
5|Sunday, October 09, 2022 at 1:00 PM -0500|Chicago Bears|Minnesota Vikings|U.S. Bank Stadium, Minneapolis
5|Sunday, October 09, 2022 at 1:00 PM -0500|Detroit Lions|New England Patriots|Gillette Stadium, Foxboro
5|Sunday, October 09, 2022 at 1:00 PM -0500|Seattle Seahawks|New Orleans Saints|Caesars Superdome, New Orleans
5|Sunday, October 09, 2022 at 1:00 PM -0500|Miami Dolphins|New York Jets|MetLife Stadium, East Rutherford
5|Sunday, October 09, 2022 at 1:00 PM -0500|Atlanta Falcons|Tampa Bay Buccaneers|Raymond James Stadium, Tampa
5|Sunday, October 09, 2022 at 1:00 PM -0500|Tennessee Titans|Washington Commanders|FedExField, Landover
5|Sunday, October 09, 2022 at 1:00 PM -0500|Houston Texans|Jacksonville Jaguars|TIAA Bank Field, Jacksonville
5|Sunday, October 09, 2022 at 4:05 PM -0500|San Francisco 49ers|Carolina Panthers|Bank of America Stadium, Charlotte
5|Sunday, October 09, 2022 at 4:25 PM -0500|Dallas Cowboys|Los Angeles Rams|SoFi Stadium, Inglewood
5|Sunday, October 09, 2022 at 4:25 PM -0500|Philadelphia Eagles|Arizona Cardinals|State Farm Stadium, Glendale
5|Sunday, October 09, 2022 at 8:20 PM -0500|Cincinnati Bengals|Baltimore Ravens|M&T Bank Stadium, Baltimore
5|Monday, October 10, 2022 at 8:15 PM -0500|Las Vegas Raiders|Kansas City Chiefs|GEHA Field at Arrowhead Stadium, Kansas City
6|Thursday, October 13, 2022 at 8:15 PM -0500|Washington Commanders|Chicago Bears|Soldier Field, Chicago
6|Sunday, October 16, 2022 at 1:00 PM -0500|San Francisco 49ers|Atlanta Falcons|Mercedes-Benz Stadium, Atlanta
6|Sunday, October 16, 2022 at 1:00 PM -0500|New England Patriots|Cleveland Browns|FirstEnergy Stadium, Cleveland
6|Sunday, October 16, 2022 at 1:00 PM -0500|New York Jets|Green Bay Packers|Lambeau Field, Green Bay
6|Sunday, October 16, 2022 at 1:00 PM -0500|Jacksonville Jaguars|Indianapolis Colts|Lucas Oil Stadium, Indianapolis
6|Sunday, October 16, 2022 at 1:00 PM -0500|Minnesota Vikings|Miami Dolphins|Hard Rock Stadium, Miami Gardens
6|Sunday, October 16, 2022 at 1:00 PM -0500|Cincinnati Bengals|New Orleans Saints|Caesars Superdome, New Orleans
6|Sunday, October 16, 2022 at 1:00 PM -0500|Baltimore Ravens|New York Giants|MetLife Stadium, East Rutherford
6|Sunday, October 16, 2022 at 1:00 PM -0500|Tampa Bay Buccaneers|Pittsburgh Steelers|Acrisure Stadium, Pittsburgh
6|Sunday, October 16, 2022 at 4:05 PM -0500|Carolina Panthers|Los Angeles Rams|SoFi Stadium, Inglewood
6|Sunday, October 16, 2022 at 4:05 PM -0500|Arizona Cardinals|Seattle Seahawks|Lumen Field, Seattle
6|Sunday, October 16, 2022 at 4:25 PM -0500|Buffalo Bills|Kansas City Chiefs|GEHA Field at Arrowhead Stadium, Kansas City
6|Sunday, October 16, 2022 at 8:20 PM -0500|Dallas Cowboys|Philadelphia Eagles|Lincoln Financial Field, Philadelphia
6|Monday, October 17, 2022 at 8:15 PM -0500|Denver Broncos|Los Angeles Chargers|SoFi Stadium, Inglewood
7|Thursday, October 20, 2022 at 8:15 PM -0500|New Orleans Saints|Arizona Cardinals|State Farm Stadium, Glendale
7|Sunday, October 23, 2022 at 1:00 PM -0500|Atlanta Falcons|Cincinnati Bengals|Paycor Stadium, Cincinnati
7|Sunday, October 23, 2022 at 1:00 PM -0500|Detroit Lions|Dallas Cowboys|AT&T Stadium, Arlington
7|Sunday, October 23, 2022 at 1:00 PM -0500|Indianapolis Colts|Tennessee Titans|Nissan Stadium, Nashville
7|Sunday, October 23, 2022 at 1:00 PM -0500|Green Bay Packers|Washington Commanders|FedExField, Landover
7|Sunday, October 23, 2022 at 1:00 PM -0500|Tampa Bay Buccaneers|Carolina Panthers|Bank of America Stadium, Charlotte
7|Sunday, October 23, 2022 at 1:00 PM -0500|New York Giants|Jacksonville Jaguars|TIAA Bank Field, Jacksonville
7|Sunday, October 23, 2022 at 1:00 PM -0500|Cleveland Browns|Baltimore Ravens|M&T Bank Stadium, Baltimore
7|Sunday, October 23, 2022 at 4:05 PM -0500|New York Jets|Denver Broncos|Empower Field at Mile High, Denver
7|Sunday, October 23, 2022 at 4:05 PM -0500|Houston Texans|Las Vegas Raiders|Allegiant Stadium, Las Vegas
7|Sunday, October 23, 2022 at 4:25 PM -0500|Seattle Seahawks|Los Angeles Chargers|SoFi Stadium, Inglewood
7|Sunday, October 23, 2022 at 4:25 PM -0500|Kansas City Chiefs|San Francisco 49ers|Levi's Stadium, Santa Clara
7|Sunday, October 23, 2022 at 8:20 PM -0500|Pittsburgh Steelers|Miami Dolphins|Hard Rock Stadium, Miami Gardens
7|Monday, October 24, 2022 at 8:15 PM -0500|Chicago Bears|New England Patriots|Gillette Stadium, Foxboro
8|Thursday, October 27, 2022 at 8:15 PM -0500|Baltimore Ravens|Tampa Bay Buccaneers|Raymond James Stadium, Tampa
8|Sunday, October 30, 2022 at 9:30 AM -0500|Denver Broncos|Jacksonville Jaguars|Wembley Stadium, London
8|Sunday, October 30, 2022 at 1:00 PM -0500|Carolina Panthers|Atlanta Falcons|Mercedes-Benz Stadium, Atlanta
8|Sunday, October 30, 2022 at 1:00 PM -0500|Chicago Bears|Dallas Cowboys|AT&T Stadium, Arlington
8|Sunday, October 30, 2022 at 1:00 PM -0500|Miami Dolphins|Detroit Lions|Ford Field, Detroit
8|Sunday, October 30, 2022 at 1:00 PM -0500|Arizona Cardinals|Minnesota Vikings|U.S. Bank Stadium, Minneapolis
8|Sunday, October 30, 2022 at 1:00 PM -0500|Las Vegas Raiders|New Orleans Saints|Caesars Superdome, New Orleans
8|Sunday, October 30, 2022 at 1:00 PM -0500|New England Patriots|New York Jets|MetLife Stadium, East Rutherford
8|Sunday, October 30, 2022 at 1:00 PM -0500|Pittsburgh Steelers|Philadelphia Eagles|Lincoln Financial Field, Philadelphia
8|Sunday, October 30, 2022 at 4:05 PM -0500|Tennessee Titans|Houston Texans|NRG Stadium, Houston
8|Sunday, October 30, 2022 at 4:25 PM -0500|Washington Commanders|Indianapolis Colts|Lucas Oil Stadium, Indianapolis
8|Sunday, October 30, 2022 at 4:25 PM -0500|San Francisco 49ers|Los Angeles Rams|SoFi Stadium, Inglewood
8|Sunday, October 30, 2022 at 4:25 PM -0500|New York Giants|Seattle Seahawks|Lumen Field, Seattle
8|Sunday, October 30, 2022 at 8:20 PM -0500|Green Bay Packers|Buffalo Bills|Highmark Stadium, Orchard Park
8|Monday, October 31, 2022 at 8:15 PM -0500|Cincinnati Bengals|Cleveland Browns|FirstEnergy Stadium, Cleveland
9|Thursday, November 03, 2022 at 8:15 PM -0500|Philadelphia Eagles|Houston Texans|NRG Stadium, Houston
9|Sunday, November 06, 2022 at 1:00 PM -0500|Los Angeles Chargers|Atlanta Falcons|Mercedes-Benz Stadium, Atlanta
9|Sunday, November 06, 2022 at 1:00 PM -0500|Miami Dolphins|Chicago Bears|Soldier Field, Chicago
9|Sunday, November 06, 2022 at 1:00 PM -0500|Carolina Panthers|Cincinnati Bengals|Paycor Stadium, Cincinnati
9|Sunday, November 06, 2022 at 1:00 PM -0500|Green Bay Packers|Detroit Lions|Ford Field, Detroit
9|Sunday, November 06, 2022 at 1:00 PM -0500|Indianapolis Colts|New England Patriots|Gillette Stadium, Foxboro
9|Sunday, November 06, 2022 at 1:00 PM -0500|Buffalo Bills|New York Jets|MetLife Stadium, East Rutherford
9|Sunday, November 06, 2022 at 1:00 PM -0500|Minnesota Vikings|Washington Commanders|FedExField, Landover
9|Sunday, November 06, 2022 at 1:00 PM -0500|Las Vegas Raiders|Jacksonville Jaguars|TIAA Bank Field, Jacksonville
9|Sunday, November 06, 2022 at 4:05 PM -0500|Seattle Seahawks|Arizona Cardinals|State Farm Stadium, Glendale
9|Sunday, November 06, 2022 at 4:25 PM -0500|Los Angeles Rams|Tampa Bay Buccaneers|Raymond James Stadium, Tampa
9|Sunday, November 06, 2022 at 8:20 PM -0500|Tennessee Titans|Kansas City Chiefs|GEHA Field at Arrowhead Stadium, Kansas City
9|Monday, November 07, 2022 at 8:15 PM -0500|Baltimore Ravens|New Orleans Saints|Caesars Superdome, New Orleans
10|Thursday, November 10, 2022 at 8:15 PM -0500|Atlanta Falcons|Carolina Panthers|Bank of America Stadium, Charlotte
10|Sunday, November 13, 2022 at 9:30 AM -0500|Seattle Seahawks|Tampa Bay Buccaneers|Allianz Arena, Munich
10|Sunday, November 13, 2022 at 1:00 PM -0500|Minnesota Vikings|Buffalo Bills|Highmark Stadium, Orchard Park
10|Sunday, November 13, 2022 at 1:00 PM -0500|Detroit Lions|Chicago Bears|Soldier Field, Chicago
10|Sunday, November 13, 2022 at 1:00 PM -0500|Denver Broncos|Tennessee Titans|Nissan Stadium, Nashville
10|Sunday, November 13, 2022 at 1:00 PM -0500|Jacksonville Jaguars|Kansas City Chiefs|GEHA Field at Arrowhead Stadium, Kansas City
10|Sunday, November 13, 2022 at 1:00 PM -0500|Cleveland Browns|Miami Dolphins|Hard Rock Stadium, Miami Gardens
10|Sunday, November 13, 2022 at 1:00 PM -0500|Houston Texans|New York Giants|MetLife Stadium, East Rutherford
10|Sunday, November 13, 2022 at 1:00 PM -0500|New Orleans Saints|Pittsburgh Steelers|Acrisure Stadium, Pittsburgh
10|Sunday, November 13, 2022 at 4:05 PM -0500|Indianapolis Colts|Las Vegas Raiders|Allegiant Stadium, Las Vegas
10|Sunday, November 13, 2022 at 4:25 PM -0500|Dallas Cowboys|Green Bay Packers|Lambeau Field, Green Bay
10|Sunday, November 13, 2022 at 4:25 PM -0500|Arizona Cardinals|Los Angeles Rams|SoFi Stadium, Inglewood
10|Sunday, November 13, 2022 at 8:20 PM -0500|Los Angeles Chargers|San Francisco 49ers|Levi's Stadium, Santa Clara
10|Monday, November 14, 2022 at 8:15 PM -0500|Washington Commanders|Philadelphia Eagles|Lincoln Financial Field, Philadelphia
11|Thursday, November 17, 2022 at 8:15 PM -0500|Tennessee Titans|Green Bay Packers|Lambeau Field, Green Bay
11|Sunday, November 20, 2022 at 1:00 PM -0500|Chicago Bears|Atlanta Falcons|Mercedes-Benz Stadium, Atlanta
11|Sunday, November 20, 2022 at 1:00 PM -0500|Cleveland Browns|Buffalo Bills|Highmark Stadium, Orchard Park
11|Sunday, November 20, 2022 at 1:00 PM -0500|Philadelphia Eagles|Indianapolis Colts|Lucas Oil Stadium, Indianapolis
11|Sunday, November 20, 2022 at 1:00 PM -0500|New York Jets|New England Patriots|Gillette Stadium, Foxboro
11|Sunday, November 20, 2022 at 1:00 PM -0500|Los Angeles Rams|New Orleans Saints|Caesars Superdome, New Orleans
11|Sunday, November 20, 2022 at 1:00 PM -0500|Detroit Lions|New York Giants|MetLife Stadium, East Rutherford
11|Sunday, November 20, 2022 at 1:00 PM -0500|Carolina Panthers|Baltimore Ravens|M&T Bank Stadium, Baltimore
11|Sunday, November 20, 2022 at 1:00 PM -0500|Washington Commanders|Houston Texans|NRG Stadium, Houston
11|Sunday, November 20, 2022 at 4:05 PM -0500|Las Vegas Raiders|Denver Broncos|Empower Field at Mile High, Denver
11|Sunday, November 20, 2022 at 4:25 PM -0500|Dallas Cowboys|Minnesota Vikings|U.S. Bank Stadium, Minneapolis
11|Sunday, November 20, 2022 at 4:25 PM -0500|Kansas City Chiefs|Los Angeles Chargers|SoFi Stadium, Inglewood
11|Sunday, November 20, 2022 at 8:20 PM -0500|Cincinnati Bengals|Pittsburgh Steelers|Acrisure Stadium, Pittsburgh
11|Monday, November 21, 2022 at 8:00 PM -0500|San Francisco 49ers|Arizona Cardinals|Estadio Azteca, Mexico City
12|Thursday, November 24, 2022 at 12:30 PM -0500|Buffalo Bills|Detroit Lions|Ford Field, Detroit
12|Thursday, November 24, 2022 at 4:30 PM -0500|New York Giants|Dallas Cowboys|AT&T Stadium, Arlington
12|Thursday, November 24, 2022 at 8:20 PM -0500|New England Patriots|Minnesota Vikings|U.S. Bank Stadium, Minneapolis
12|Sunday, November 27, 2022 at 1:00 PM -0500|Tampa Bay Buccaneers|Cleveland Browns|FirstEnergy Stadium, Cleveland
